"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\giorgi.paresishvili\Sites\study\jwt\package.json", "JSON", 0, 24, 0, 1, 25
"c:\Users\giorgi.paresishvili\Sites\study\jwt\src\controllers\auth.js", "JavaScript", 37, 0, 0, 9, 46
"c:\Users\giorgi.paresishvili\Sites\study\jwt\src\controllers\cart.js", "JavaScript", 0, 0, 0, 1, 1
"c:\Users\giorgi.paresishvili\Sites\study\jwt\src\controllers\product.js", "JavaScript", 46, 0, 0, 11, 57
"c:\Users\giorgi.paresishvili\Sites\study\jwt\src\controllers\user.js", "JavaScript", 38, 0, 0, 11, 49
"c:\Users\giorgi.paresishvili\Sites\study\jwt\src\index.js", "JavaScript", 18, 0, 0, 6, 24
"c:\Users\giorgi.paresishvili\Sites\study\jwt\src\middleware\verifyToken.js", "JavaScript", 25, 0, 0, 9, 34
"c:\Users\giorgi.paresishvili\Sites\study\jwt\src\models\Cart.js", "JavaScript", 15, 0, 0, 4, 19
"c:\Users\giorgi.paresishvili\Sites\study\jwt\src\models\Order.js", "JavaScript", 18, 0, 0, 4, 22
"c:\Users\giorgi.paresishvili\Sites\study\jwt\src\models\Product.js", "JavaScript", 17, 0, 0, 4, 21
"c:\Users\giorgi.paresishvili\Sites\study\jwt\src\models\User.js", "JavaScript", 14, 0, 0, 4, 18
"c:\Users\giorgi.paresishvili\Sites\study\jwt\src\routes\auth.js", "JavaScript", 6, 0, 0, 3, 9
"c:\Users\giorgi.paresishvili\Sites\study\jwt\src\routes\product.js", "JavaScript", 10, 0, 0, 4, 14
"c:\Users\giorgi.paresishvili\Sites\study\jwt\src\routes\router.js", "JavaScript", 9, 0, 0, 4, 13
"c:\Users\giorgi.paresishvili\Sites\study\jwt\src\routes\user.js", "JavaScript", 9, 0, 0, 4, 13
"Total", "-", 262, 24, 0, 79, 365
